Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
1893A754,Lycanroc (Midnight),Yes,3B3111AF,5EA3524E,Dragon,31,31,31,31,31,31,Vital Spirit,Gentle,Female,132,91,158,0
286E74CF,Sawsbuck,Yes,4B0BDF2A,DEB8BC31,Water,31,31,31,31,31,31,Sap Sipper,Hasty,Male,184,176,158,0
2E9ABDD0,Ursaring,Yes,5138282B,8E3DD7F8,Grass,31,31,31,31,31,31,Guts,Relaxed,Female,219,86,158,0
3F33B956,Golduck,Yes,61D123B1,02C7EF8A,Fairy,31,31,31,31,31,31,Swift Swim,Hardy,Male,221,126,158,0
5E9F53E3,Clodsire,Yes,813CBE3E,D79544E3,Ghost,31,31,31,31,31,31,Unaware,Gentle,Female,32,106,158,0
7289089B,Drifblim,Yes,952672F6,9701F841,Water,31,31,31,31,31,31,Unburden,Impish,Male,81,139,158,0
7FDE48EF,Crabominable,Yes,A27BB34A,F61A4205,Water,31,31,31,31,31,31,Anger Point,Bashful,Female,148,140,158,0
860222A1,Floatzel,Yes,A89F8CFC,9C4F4A5C,Ice,31,31,31,31,31,31,Water Veil,Adamant,Female,183,107,158,0
9AAE435C,Tauros (Combat Breed),Yes,BD4BADB7,3EF248CA,Water,31,31,31,31,31,31,Cud Chew,Hasty,Male,180,149,158,0
C5CCFA6E,Veluza,Yes,E86A64C9,EA9C39DC,Fire,31,31,31,31,31,31,Mold Breaker,Hasty,Male,116,87,158,0
