Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
074ACC48,Wugtrio,Yes,29E836A3,2899DC3C,Poison,31,31,31,31,31,31,Sand Veil,Careful,Male,100,115,158,0
1893A754,Lycanroc (Midday),Yes,3B3111AF,5EA3524E,Dragon,31,31,31,31,31,31,Sand Rush,Gentle,Female,132,91,158,0
286E74CF,Sawsbuck,Yes,4B0BDF2A,DEB8BC31,Water,31,31,31,31,31,31,Sap Sipper,Hasty,Male,184,176,158,0
2E9ABDD0,Ursaring,Yes,5138282B,8E3DD7F8,Grass,31,31,31,31,31,31,Guts,Relaxed,Female,219,86,158,0
3F33B956,Golduck,Yes,61D123B1,02C7EF8A,Fairy,31,31,31,31,31,31,Swift Swim,Hardy,Male,221,126,158,0
5E9F53E3,Clodsire,Yes,813CBE3E,D79544E3,Ghost,31,31,31,31,31,31,Unaware,Gentle,Female,32,106,158,0
7289089B,Toxicroak,Yes,952672F6,9701F841,Water,31,31,31,31,31,31,Dry Skin,Impish,Male,81,139,158,0
860222A1,Shelgon,Yes,A89F8CFC,9C4F4A5C,Ice,31,31,31,31,31,31,Overcoat,Adamant,Female,183,107,158,0
9AAE435C,Tauros (Combat Breed),Yes,BD4BADB7,3EF248CA,Water,31,31,31,31,31,31,Cud Chew,Hasty,Male,180,149,158,0
BD72A7C5,Vigoroth,Yes,E0101220,90B78729,Normal,31,31,31,31,31,31,Vital Spirit,Rash,Female,167,178,158,0
FC65AE4C,Dudunsparce,Yes,1F0318A7,8597DC06,Ghost,31,31,31,31,31,31,Run Away,Quirky,Female,117,96,158,0
