Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
0477DA66,Kilowattrel,Yes,271544C1,D7E84C2D,Fighting,31,31,19,31,24,29,Wind Power,Impish,Female,159,204,158,0
059A8B63,Gogoat,Yes,2837F5BE,6C8B9ACE,Ice,31,21,29,31,31,31,Grass Pelt,Quiet,Female,80,130,158,0
092DB74B,Lumineon,Yes,2BCB21A6,C312D95F,Bug,26,31,31,0,8,31,Swift Swim,Docile,Male,97,224,158,0
1ACB3E49,Magneton,Yes,3D68A8A4,3A8CC1A5,Ground,31,31,11,31,28,11,Analytic,Hardy,Genderless,93,215,158,0
1B7D905F,Gabite,Yes,3E1AFABA,1298CB0F,Grass,6,1,31,11,31,31,Sand Veil,Naive,Female,38,115,158,0
1F390FC9,Polteageist,Yes,41D67A24,04E77558,Ground,6,7,31,31,13,31,Weak Armor,Bold,Genderless,126,161,158,0
32EF7667,Floatzel,Yes,558CE0C2,E68F13F7,Flying,31,31,13,31,29,6,Swift Swim,Brave,Female,102,96,158,0
40A17CE7,Forretress,Yes,633EE742,C6AA641A,Flying,31,22,11,31,9,31,Sturdy,Bashful,Male,60,96,158,0
574177A1,Heracross,Yes,79DEE1FC,547F05A4,Steel,26,3,31,31,31,31,Moxie,Naughty,Female,192,192,158,0
59C854DA,Lurantis,Yes,7C65BF35,7FD9E6C5,Dark,11,17,5,31,31,31,Contrary,Naive,Female,51,135,158,0
5A10EACA,Medicham,Yes,7CAE5525,A1008833,Rock,27,31,21,17,31,31,Pure Power,Quirky,Male,66,110,158,0
5F04CA22,Gabite,Yes,81A2347D,73EBE8F3,Steel,31,15,8,31,31,22,Sand Veil,Adamant,Female,208,53,158,0
6386C9C8,Lycanroc (Midday),Yes,86243423,78D6D43C,Poison,17,27,31,31,16,31,Keen Eye,Lax,Female,102,123,158,0
82B34FDF,Polteageist,Yes,A550BA3A,5421AF13,Dragon,31,31,28,31,26,14,Weak Armor,Hardy,Genderless,79,100,158,0
9B87BDC9,Donphan,Yes,BE252824,9B986608,Ground,30,31,20,31,3,31,Sand Veil,Bashful,Male,209,151,158,0
AC3A2DE5,Toedscruel,Yes,CED79840,A1F157F9,Normal,31,31,17,31,29,23,Mycelium Might,Adamant,Female,179,224,158,0
B17E6A20,Magneton,Yes,D41BD47B,92FEBA31,Psychic,11,22,31,25,31,31,Sturdy,Calm,Genderless,51,120,158,0
BEF3B8D6,Persian,Yes,E1912331,942A7859,Fairy,31,15,16,31,20,31,Unnerve,Careful,Female,194,113,158,0
C992A759,Bisharp,Yes,EC3011B4,27C50F1C,Ice,25,27,31,31,12,31,Defiant,Brave,Female,105,198,158,0
D6CC25E6,Ditto,Yes,F9699041,FA9A36AB,Fighting,31,31,6,8,28,31,Imposter,Calm,Genderless,166,97,158,0
DE9EB445,Krokorok,Yes,013C1EA0,4C1BFBB8,Normal,31,8,31,16,5,31,Intimidate,Lax,Male,100,193,158,0
E127B7D8,Lilligant,Yes,03C52233,70246680,Normal,31,31,11,31,17,22,Chlorophyll,Quiet,Female,42,140,158,0
EE805368,Toedscruel,Yes,111DBDC3,019C97F0,Poison,2,31,13,31,31,2,Mycelium Might,Naive,Female,90,70,158,0
F09A6FE2,Lurantis,Yes,1337DA3D,6CC1D2A6,Bug,31,12,31,12,31,27,Contrary,Sassy,Male,244,74,158,0
F15DFDA0,Grumpig,Yes,13FB67FB,58B7A694,Dark,31,24,31,6,17,31,Gluttony,Careful,Female,60,203,158,0
F8BF8366,Toedscruel,Yes,1B5CEDC1,EA5B54D2,Fighting,31,31,18,31,19,31,Mycelium Might,Lonely,Male,52,139,158,0
