Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
0AE13F7D,Dragonite,Yes,2D7EA9D8,94B843C5,Grass,31,0,31,31,31,31,Inner Focus,Hardy,Female,178,177,75,0
0B83DB94,Revavroom,Yes,2E2145EF,0A228B7C,Dragon,31,0,31,31,31,31,Overcoat,Bold,Male,17,91,127,0
0BE44A01,Zoroark,Yes,2E81B45C,A7C8B54E,Ice,31,0,31,31,31,31,Illusion,Calm,Male,79,215,79,0
13871006,Rotom,Yes,36247A61,22432ADF,Fighting,31,0,31,31,31,31,Levitate,Serious,Genderless,50,183,163,0
1917407F,Hatterene,Yes,3BB4AADA,6BC3F005,Grass,31,0,31,31,31,31,Healer,Lax,Female,200,198,220,0
1A14D5F2,Ceruledge,Yes,3CB2404D,78985FB7,Psychic,31,0,31,31,31,31,Flash Fire,Adamant,Female,122,148,61,0
2224881B,Orthworm,Yes,44C1F276,BAB7E40A,Normal,31,0,31,31,31,31,Earth Eater,Rash,Female,185,121,85,0
2DA85D7A,Garganacl,Yes,5045C7D5,DA902938,Flying,31,0,31,31,31,31,Sturdy,Naughty,Female,68,86,153,0
2FF0C9FE,Florges,Yes,528E3459,F6308168,Bug,31,0,31,31,31,31,Symbiosis,Timid,Female,77,139,45,0
33A8F3FC,Altaria,Yes,56465E57,DBD9DB71,Fire,31,0,31,31,31,31,Cloud Nine,Bashful,Male,126,104,174,0
3BB42B88,Scizor,Yes,5E5195E3,1174445C,Poison,31,0,31,31,31,31,Swarm,Naive,Female,20,126,123,0
3DA52E86,Revavroom,Yes,604298E1,DB509AE6,Fighting,31,0,31,31,31,31,Overcoat,Serious,Female,133,82,86,0
43D99276,Delibird,Yes,6676FCD1,A1EEC4FF,Fairy,31,0,31,31,31,31,Vital Spirit,Docile,Female,191,192,114,0
54EC70FC,Salamence,Yes,7789DB57,0BCAA7BA,Steel,31,0,31,31,31,31,Intimidate,Naughty,Female,110,90,200,0
55F29980,Mudsdale,Yes,789003DB,262E5DAB,Fire,31,0,31,31,31,31,Own Tempo,Calm,Female,89,20,87,0
58002A76,Staraptor,Yes,7A9D94D1,6051AF8C,Fairy,31,0,31,31,31,31,Intimidate,Sassy,Male,97,82,137,0
58F18576,Bombirdier,Yes,7B8EEFD1,1E02344E,Fairy,31,0,31,31,31,31,Rocky Payload,Calm,Female,142,46,57,0
5C21D8F6,Glimmora,Yes,7EBF4351,E32D8C19,Fairy,31,0,31,31,31,31,Corrosion,Brave,Male,140,203,123,0
66D7D37E,Scyther,Yes,89753DD9,C247F249,Psychic,31,0,31,31,31,31,Technician,Timid,Male,135,128,133,0
66EFCB8E,Eevee,Yes,898D35E9,22634DEE,Fire,31,0,31,31,31,31,Anticipation,Naive,Male,247,95,34,0
699AAFFE,Indeedee,Yes,8C381A59,D3A5E310,Ice,31,0,31,31,31,31,Synchronize,Docile,Male,145,101,109,0
6E04F294,Bronzong,Yes,90A25CEF,7EB12D61,Dragon,31,0,31,31,31,31,Heatproof,Hasty,Genderless,186,125,62,0
6FB6349B,Appletun,Yes,92539EF6,475A177E,Fire,31,0,31,31,31,31,Ripen,Quirky,Female,123,123,120,0
