Seed,Species,Shiny,EC,PID,Tera Type,HP,Atk,Def,SpA,SpD,Spe,Ability,Nature,Gender,Height,Weight,Scale,Drops
06E15B0C,Luxray,Yes,297EC567,90A9A2D0,Ghost,31,0,31,31,31,0,Guts,Serious,Female,135,102,92,0
0A1C6A72,Glalie,Yes,2CB9D4CD,88F208CA,Psychic,31,0,31,31,31,0,Moody,Naive,Male,62,135,154,0
0BCCBE07,Gengar,Yes,2E6A2862,456D0802,Flying,31,0,31,31,31,0,Cursed Body,Quiet,Male,215,59,194,0
0D88F40A,Mudsdale,Yes,30265E65,3C10FF7F,Rock,31,0,31,31,31,0,Stamina,Hardy,Female,84,149,166,0
21F87819,Talonflame,Yes,4495E274,0D2111B3,Flying,31,0,31,31,31,0,Flame Body,Relaxed,Male,80,163,136,0
3079CCF5,Toxtricity (Low Key),Yes,53173750,21856178,Dark,31,0,31,31,31,0,Punk Rock,Careful,Male,221,128,123,0
31C93871,Slowbro,Yes,5466A2CC,6019640F,Electric,31,0,31,31,31,0,Own Tempo,Impish,Female,162,108,139,0
3E7B78F8,Cloyster,Yes,6118E353,2291294A,Bug,31,0,31,31,31,0,Shell Armor,Docile,Female,69,30,61,0
5E1B710B,Altaria,Yes,80B8DB66,C6A44E70,Bug,31,0,31,31,31,0,Natural Cure,Bold,Male,60,191,197,0
60B8717E,Luxray,Yes,8355DBD9,466E74F4,Psychic,31,0,31,31,31,0,Intimidate,Sassy,Male,88,162,123,0
7471117E,Arboliva,Yes,970E7BD9,3CC23D19,Dragon,31,0,31,31,31,0,Seed Sower,Naughty,Female,180,210,188,0
7E96BD88,Slaking,Yes,A13427E3,D835866D,Poison,31,0,31,31,31,0,Truant,Calm,Female,172,72,72,0
ADA0F586,Krookodile,Yes,D03E5FE1,48166DAA,Fighting,31,0,31,31,31,0,Moxie,Quirky,Female,161,39,137,0
AECE3410,Tatsugiri (Droopy),Yes,D16B9E6B,CFCE555B,Grass,31,0,31,31,31,0,Storm Drain,Naive,Male,125,202,58,0
BD81047B,Tatsugiri (Droopy),Yes,E01E6ED6,DBB799F7,Flying,31,0,31,31,31,0,Storm Drain,Sassy,Male,136,111,122,0
CA7DF704,Abomasnow,Yes,ED1B615F,AB0AA10A,Water,31,0,31,31,31,0,Soundproof,Naive,Male,102,107,128,0
D5D7C780,Tatsugiri (Droopy),Yes,F87531DB,2176D305,Rock,31,0,31,31,31,0,Commander,Gentle,Female,167,109,165,0
DE9A3E7E,Gengar,Yes,0137A8D9,5A47F2DD,Ground,31,0,31,31,31,0,Cursed Body,Quiet,Male,90,88,91,0
E878A584,Flapple,Yes,0B160FDF,DC18F71F,Grass,31,0,31,31,31,0,Hustle,Lonely,Female,146,92,197,0
F684BC86,Blissey,Yes,192226E1,F92E25A0,Fighting,31,0,31,31,31,0,Natural Cure,Quiet,Female,95,139,75,0
